Index,leftWheelCount,rightWheelCount,ax,ay,az,gx,gy,gz
363,310,598,-0.03,0.01,1.09,1.9,-2.46,-5.16
364,310,598,-0.01,0.02,1.1,2.04,-2.13,-7.38
365,310,598,-0.01,0.01,1.1,1.9,-0.94,-13.53
366,310,598,-0.01,-0.01,1.1,4.57,3.08,-32.64
367,310,598,-0.01,-0.06,1.09,20.29,14.7,-89.14
368,310,598,-0.01,0,1.04,26.09,29.04,-180.09
369,310,598,-0.1,0.12,0.98,22.59,0.58,-230.07
370,310,598,-0.01,0.1,1.04,13.4,-3.54,-202.32
371,310,598,-0.01,-0.11,1.14,-24.21,-5.42,-90.4
372,310,598,0,-0.18,1.12,2.02,13.51,-39.73
373,310,598,-0.08,0.03,1.19,11.58,18.3,-9.05
374,310,598,-0.17,0.06,1.09,-12.1,5.06,23.34
375,310,598,-0.17,-0.04,1.03,5.77,2.36,30.03
376,310,598,-0.18,0.06,1.07,1.22,-15.59,65.44
377,310,598,-0.09,-0.07,1.06,0.98,-19.54,108.43
378,310,598,-0.02,-0.08,1.06,23.36,-15.56,180.81
379,310,598,0,-0.04,1.11,11.41,-6.23,188.91
380,310,598,0.23,0.08,1.06,62.95,36.34,251.68
381,310,598,-0.02,0.24,1.07,14.99,25.23,251.03
382,310,598,-0.18,0.36,1.13,-20.5,-9.09,171.94
383,310,598,-0.08,0.31,1.11,-66.74,8.55,108.6
384,310,598,-0.02,0.08,1.01,-38.44,-0.88,86.52
385,310,598,0.08,0.04,1.07,8.74,16.22,65.18
386,310,598,0,0.19,1.12,-2.04,19.17,48.97
387,310,598,-0.02,0.08,1.12,-14.15,9.13,33.18
388,310,598,-0.03,0.04,1.11,-2.2,14.07,3.67
389,310,598,-0.08,0.11,1.09,-0.75,9.49,-39.15
390,310,598,-0.07,0.08,1.05,-14.36,4.72,-82.83
391,310,598,-0.05,-0.02,1.03,33.89,0.08,-126.82
392,310,598,-0.03,0,1.1,51.05,-3.2,-150.34
393,310,598,-0.08,0.16,1.15,15.48,-5.58,-182.07
394,310,598,-0.06,-0.03,1.04,74.44,14.78,-221.17
395,310,598,-0.19,0.45,1.05,-36.9,-25.11,-203.55
396,310,598,-0.11,-0.07,0.89,-24.35,-29.7,-207.28
397,310,598,-0.04,0.1,1.11,0.09,-17.95,-108.12
398,310,598,-0.13,0,1.05,-35.87,-14.86,-76.37
